reaction,N,ID,Dose,logDose,min_dose,response
TD50,1,8,72,4.276666119016055,3.75630545505462,1
TD50,1,9,72,4.276666119016055,3.9099562892063853,1
TD50,1,10,72,4.276666119016055,3.6914251838476537,1
TD50,1,11,72,4.276666119016055,3.6640894578422634,1
TD50,1,12,72,4.276666119016055,4.018083624056955,1
TD50,1,13,72,4.276666119016055,4.113028983152247,1
TD50,1,14,72,4.276666119016055,4.5459047006605875,0
TD50,1,15,72,4.276666119016055,3.820140165900632,1
TD50,2,1,34.7,3.5467396869528134,4.292835749848818,0
TD50,2,2,34.7,3.5467396869528134,4.241308093837771,0
TD50,2,3,34.7,3.5467396869528134,4.2493856729243635,0
TD50,2,4,34.7,3.5467396869528134,4.699142915196115,0
TD50,2,5,34.7,3.5467396869528134,4.232151760967013,0
TD50,2,6,34.7,3.5467396869528134,4.371894119875014,0
TD50,2,7,34.7,3.5467396869528134,4.190645058228588,0
TD50,2,8,34.7,3.5467396869528134,4.130384638698965,0
TD50,2,9,34.7,3.5467396869528134,4.655996711074778,0
TD50,2,10,34.7,3.5467396869528134,3.4921033372530546,1
TD50,2,11,34.7,3.5467396869528134,4.233835825108501,0
TD50,2,12,34.7,3.5467396869528134,4.441565260090043,0
TD50,2,13,34.7,3.5467396869528134,4.127992764510072,0
TD50,2,14,34.7,3.5467396869528134,3.3532904806333446,1
TD50,2,15,34.7,3.5467396869528134,4.2047386332065955,0
TD50,2,1,41.7,3.730501128804756,4.31346630602428,0
TD50,2,2,41.7,3.730501128804756,3.9757538740944653,0
TD50,2,3,41.7,3.730501128804756,4.238959200115076,0
TD50,2,4,41.7,3.730501128804756,4.415425802671538,0
TD50,2,5,41.7,3.730501128804756,4.149419921026811,0
TD50,2,6,41.7,3.730501128804756,4.289695891866987,0
TD50,2,7,41.7,3.730501128804756,3.8831149510003415,0
TD50,2,8,41.7,3.730501128804756,4.556768871078152,0
TD50,2,9,41.7,3.730501128804756,4.42922209480558,0
TD50,2,10,41.7,3.730501128804756,4.159600275540568,0
TD50,2,11,41.7,3.730501128804756,3.574580212114263,1
TD50,2,12,41.7,3.730501128804756,4.2678049276471475,0
TD50,2,13,41.7,3.730501128804756,3.7152820075990762,1
TD50,2,14,41.7,3.730501128804756,3.9442126700766305,0
TD50,2,15,41.7,3.730501128804756,3.929422737145841,0
TD50,2,1,50,3.912023005428146,4.613989639652549,0
TD50,2,2,50,3.912023005428146,4.650055196093028,0
TD50,2,3,50,3.912023005428146,4.33329694079265,0
TD50,2,4,50,3.912023005428146,3.944566163135745,0
